,doc_id,source,investigation_num,modified_title,modified_creator,modified_modified,modified_occurence_date,modified_release_date,doc_length
89,89,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94e0062/r94e0062.html,R94E0062,Railway Investigation Report R06C0104 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-02-23,31 July 2006,11 February 2008,5320
90,90,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94m0100/r94m0100.html,R94M0100,Railway Investigation Report R06D0044 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-02-23,22 November 2006,05 February 2008,1844
91,91,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94q0029/r94q0029.html,R94Q0029,Railway Investigation Report R06H0013 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-02-24,6 June 2006,27 September 2007,5384
92,92,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94q0048/r94q0048.html,R94Q0048,Railway Investigation Report R06Q0046 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-02-24,15 May 2006,05 February 2007,1653
93,93,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94q0054/r94q0054.html,R94Q0054,Railway Investigation Report R06Q0054 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-13,4 June 2006,18 July 2007,2016
94,94,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94q0065/r94q0065.html,R94Q0065,Railway Investigation Report R06Q0096 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-13,27 August 2006,21 November 2007,1847
95,95,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94q0074/r94q0074.html,R94Q0074,Railway Investigation Report R06T0022 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-17,31 January 2006,10 January 2008,7712
96,96,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94t0029/r94t0029.html,R94T0029,Railway Investigation Report R06T0153 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-13,14 July 2006,28 March 2007,2624
97,97,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94t0060/r94t0060.html,R94T0060,Railway Investigation Report R06T0281 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-13,11 November 2006,26 June 2008,3219
98,98,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94t0063/r94t0063.html,R94T0063,Railway Investigation Report R06V0111 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-14,21 May 2006,13 March 2008,1659
99,99,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94t0072/r94t0072.html,R94T0072,Railway Investigation Report R06V0119 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-14,28 May 2006,19 March 2008,2545
100,100,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94t0334/r94t0334.html,R94T0334,Railway Investigation Report R06V0136 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-14,29 June 2006,20 May 2009,11461
101,101,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94t0357/r94t0357.html,R94T0357,Railway Investigation Report R06V0183 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-14,3 September 2006,25 July 2008,6534
102,102,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94v0006/r94v0006.html,R94V0006,Railway Investigation Report R06W0079 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-14,22 May 2006,17 May 2007,3454
103,103,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94v0206/r94v0206.html,R94V0206,Railway Investigation Report R07C0040 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-14,22 April 2007,05 August 2009,3230
104,104,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94w0019/r94w0019.html,R94W0019,Railway Investigation Report R07D0009 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2015-10-22,12 February 2007,30 July 2008,2302
105,105,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94w0101/r94w0101.html,R94W0101,Railway Investigation Report R07D0030 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-16,29 March 2007,30 January 2008,2275
106,106,https://tsb.gc.ca/eng/rapports-reports/rail/1994/r94w0243/r94w0243.html,R94W0243,Railway Investigation Report R07D0111 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-16,17 December 2007,26 February 2009,3818
107,107,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95d0016/r95d0016.html,R95D0016,Railway Investigation Report R07E0129 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-16,27 October 2007,30 September 2008,4338
108,108,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95d0055/r95d0055.html,R95D0055,Railway Investigation Report R07H0015 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-16,4 July 2007,16 July 2008,1985
109,109,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95d0081/r95d0081.html,R95D0081,Railway Investigation Report R07M0017 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-16,3 March 2007,10 June 2008,2544
110,110,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95d0093/r95d0093.html,R95D0093,Railway Investigation Report R07Q0001 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-17,7 January 2007,31 July 2008,3546
111,111,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95d0097/r95d0097.html,R95D0097,Railway Investigation Report R07T0110 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-17,28 April 2007,14 May 2008,5342
112,112,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95d0114/r95d0114.html,R95D0114,Railway Investigation Report R07T0240 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-17,25 August 2007,26 June 2008,2387
113,113,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95m0027/r95m0027.html,R95M0027,Railway Investigation Report R07T0270 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-20,17 September 2007,04 September 2009,6147
114,114,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95m0072/r95m0072.html,R95M0072,Railway Investigation Report R07T0323 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-21,30 October 2007,30 July 2008,3535
115,115,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95q0014/r95q0014.html,R95Q0014,Railway Investigation Report R07V0109 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-21,23 April 2007,,3721
116,116,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95q0019/r95q0019.html,R95Q0019,Railway Investigation Report R07V0213 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2015-10-22,4 August 2007,,4400
117,117,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95q0045/r95q0045.html,R95Q0045,Railway Investigation Report R07W0042 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-21,13 February 2007,27 November 2007,2476
118,118,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95s0021/r95s0021.html,R95S0021,Railway Investigation Report R08C0164 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-22,30 November 2008,10 November 2009,1944
119,119,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95s0036/r95s0036.html,R95S0036,Railway Investigation Report R08E0150 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-22,18 December 2008,24 March 2010,2549
120,120,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95t0023/r95t0023.html,R95T0023,Railway Investigation Report R08M0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-22,19 January 2008,17 September 2008,2031
121,121,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95t0092/r95t0092.html,R95T0092,Railway Investigation Report R08M0015 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-22,12 March 2008,07 April 2009,1878
122,122,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95t0152/r95t0152.html,R95T0152,Railway Investigation Report R08M0063 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-22,3 July 2008,13 May 2009,2485
123,123,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95t0259/r95t0259.html,R95T0259,Railway Investigation Report R08Q0028 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-22,31 December 2008,21 October 2009,1157
124,124,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95t0262/r95t0262.html,R95T0262,Railway Investigation Report R08T0029 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-22,18 February 2008,09 December 2008,3884
125,125,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95v0017/r95v0017.html,R95V0017,Railway Investigation Report R08T0158 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-22,15 July 2008,24 August 2009,4553
126,126,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95v0089/r95v0089.html,R95V0089,Railway Investigation Report R08V0270 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,29 December 2008,26 May 2010,3062
127,127,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95v0174/r95v0174.html,R95V0174,Railway Investigation Report R08W0058 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,7 April 2008,14 January 2009,3618
128,128,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95v0218/r95v0218.html,R95V0218,Railway Investigation Report R08W0181 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,9 September 2008,11 March 2009,1463
129,129,https://tsb.gc.ca/eng/rapports-reports/rail/1995/r95w0291/r95w0291.html,R95W0291,Railway Investigation Report R08W0219 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,22 October 2008,20 January 2010,1958
130,130,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96c0086/r96c0086.html,R96C0086,Railway Investigation Report R09D0012 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,6 February 2009,23 December 2009,2247
131,131,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96c0135/r96c0135.html,R96C0135,Railway Investigation Report R09D0053 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,9 September 2009,22 September 2010,1853
132,132,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96c0172/r96c0172.html,R96C0172,Railway Investigation Report R09H0006 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,3 June 2009,22 July 2010,2846
133,133,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96d0018/r96d0018.html,R96D0018,Railway Investigation Report R09H0010 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,16 August 2009,08 June 2010,3234
134,134,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96d0029/r96d0029.html,R96D0029,Railway Investigation Report R09Q0030 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,17 July 2009,18 February 2010,1806
135,135,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96d0035/r96d0035.html,R96D0035,Railway Investigation Report R09Q0047 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,21 November 2009,30 September 2010,2492
136,136,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96h0021/r96h0021.html,R96H0021,Railway Investigation Report R09T0057 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-23,11 February 2009,04 August 2010,3934
137,137,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96m0011/r96m0011.html,R96M0011,Railway Investigation Report R09T0092 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-24,21 March 2009,29 September 2010,4748
138,138,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96q0050/r96q0050.html,R96Q0050,Railway Investigation Report R09T0151 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-24,5 June 2009,09 June 2011,5395
139,139,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96s0106/r96s0106.html,R96S0106,Railway Investigation Report R09V0219 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-28,14 October 2009,21 July 2010,2716
140,140,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96t0008/r96t0008.html,R96T0008,Railway Investigation Report R09V0230 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-28,30 October 2009,12 August 2010,2961
141,141,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96t0080/r96t0080.html,R96T0080,Railway Investigation Report R09V0235 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-03-29,17 November 2009,05 August 2010,3529
