chunk,score,rank
355_0,0.70231456,1
374_0,0.67303234,2
259_0,0.6653112,3
415_1,0.6557226,4
296_0,0.648778,5
122_1,0.6464424,6
272_0,0.6460993,7
53_12,0.6405271,8
339_0,0.63940203,9
219_0,0.63437134,10
